Year,Population_000s,GDP_RM_Million,OPR_Rate_Percentage,price_index
2010,28588.6,1818284.3320610754,2.75,100.0
2011,29062.0,1914653.4016603122,3.0,110.9
2012,29510.0,2019959.3387516292,3.0,125.8
2013,30213.7,2114897.4276729557,3.0,140.0
2014,30708.5,2241791.273333333,3.25,153.2
2015,31186.1,2353880.837,3.25,164.5
2016,31633.5,2458623.479,3.0,176.1
2017,32022.6,2601536.404,3.0,187.6
2018,32382.3,2727531.1350000002,3.25,193.7
2019,32523.0,2847902.275,3.0,198.0
2020,32447.4,2692496.485,1.75,200.3
2021,32576.3,2781762.215,1.75,202.7
2022,32698.1,3028277.103,2.75,209.8
2023,33401.8,3135947.6999999997,3.0,218.3
